yearmonth,Sum of fare_amount
30730134,49.57
30866270,49.57
30969701,49.57
31079383,49.57
31114425,49.57
31119770,49.57
31485019,49.57
31799181,49.57
31847449,49.57
31906484,49.57
32009539,49.57
32197096,49.57
32210924,49.57
32260372,49.57
33052393,49.57
33302905,49.57
33415710,49.57
33480288,49.57
33556831,49.57
33664656,49.57
33680516,49.57
33786362,49.57
34210308,49.57
34356126,49.57
34357379,49.57
34413591,49.57
34495664,49.57
34530632,49.57
34597347,49.57
34605982,49.57
34703302,49.57
34742976,49.57
34752907,49.57
34880869,49.57
35550228,49.57
36025401,49.57
36414853,49.57
36520958,49.57
36605134,49.57
36734934,49.57
36875571,49.57
36887965,49.57
37045909,49.57
37226569,49.57
37749105,49.57
37824946,49.57
37898215,49.57
38140492,49.57
38497371,49.57
38545360,49.57
38767209,49.57
38824469,49.57
38944652,49.57
38977371,49.57
39096541,49.57
39122949,49.57
39164343,49.57
39435309,49.57
39702519,49.57
39740555,49.57
40034678,49.57
40146695,49.57
40167707,49.57
40258806,49.57
40285820,49.57
40288638,49.57
40294037,49.57
40452102,49.57
40785390,49.57
40829694,49.57
41324246,49.57
41400702,49.57
41475021,49.57
41651270,49.57
41811963,49.57
41821448,49.57
41826591,49.57
41867120,49.57
41869945,49.57
41927629,49.57
41935136,49.57
41974292,49.57
41980756,49.57
42050197,49.57
42904849,49.57
43171736,49.57
43531543,49.57
43620450,49.57
43644236,49.57
43854707,49.57
43914579,49.57
44047026,49.57
44470343,49.57
44533582,49.57
44565103,49.57
44573152,49.57
44694912,49.57
44872843,49.57
44883139,49.57
44918148,49.57
44931522,49.57
45021057,49.57
45322092,49.57
45447119,49.57
45491660,49.57
45536649,49.57
45975837,49.57
46209614,49.57
46236652,49.57
46409250,49.57
46443712,49.57
46518664,49.57
46652171,49.57
46846898,49.57
46898154,49.57
47009206,49.57
47406111,49.57
47443881,49.57
47502470,49.57
47576518,49.57
47824728,49.57
47901175,49.57
48103623,49.57
48151231,49.57
48239995,49.57
48271865,49.57
48375661,49.57
48516667,49.57
48543779,49.57
48972724,49.57
49151903,49.57
49233361,49.57
49252169,49.57
49737536,49.57
49804376,49.57
49932127,49.57
50019429,49.57
50046885,49.57
50216465,49.57
50280510,49.57
50633264,49.57
51064971,49.57
51904546,49.57
51914073,49.57
52061218,49.57
52533349,49.57
52593203,49.57
52657134,49.57
52660633,49.57
52744635,49.57
52763247,49.57
52796910,49.57
52825778,49.57
52850001,49.57
52875665,49.57
52927716,49.57
53147916,49.57
53171016,49.57
53288141,49.57
53621888,49.57
54165642,49.57
54618026,49.57
54620124,49.57
54639540,49.57
54710400,49.57
54783452,49.57
55192574,49.57
55218905,49.57
55286168,49.57
55302920,49.57
55390906,49.57
25468804,49.54
1498943,49.5
2960406,49.5
2994623,49.5
5166328,49.5
8832805,49.5
9594506,49.5
15323189,49.5
15929419,49.5
21636424,49.5
28115811,49.5
34906710,49.5
40222197,49.5
41874184,49.5
46914445,49.5
47148449,49.5
47172796,49.5
6972546,49.33
8520152,49.33
9505481,49.33
24460651,49.33
26166668,49.33
29045660,49.33
37447898,49.33
41311822,49.33
42614260,49.33
49226722,49.33
6917689,49.3
11136428,49.3
30116392,49.3
34538301,49.3
45426483,49.3
46897641,49.3
48828526,49.3
50886971,49.3
674269,49.15
1043213,49.15
1178477,49.15
1319400,49.15
1383105,49.15
1685493,49.15
2343694,49.15
2920575,49.15
3042196,49.15
3353914,49.15
4102908,49.15
5208060,49.15
5446975,49.15
6547973,49.15
8332728,49.15
8378654,49.15
8629355,49.15
8855173,49.15
9475282,49.15
9551236,49.15
10327942,49.15
10898457,49.15
11120569,49.15
11302570,49.15
11444430,49.15
11758190,49.15
11988697,49.15
12051693,49.15
12339971,49.15
12546492,49.15
12879302,49.15
13419677,49.15
14500814,49.15
15346247,49.15
15400090,49.15
15403072,49.15
15727400,49.15
16992554,49.15
18680928,49.15
19011256,49.15
19222802,49.15
19331827,49.15
19356940,49.15
19493579,49.15
19629362,49.15
19771234,49.15
19816149,49.15
19994967,49.15
20306272,49.15
21132672,49.15
22197327,49.15
22692615,49.15
24008330,49.15
24025706,49.15
24094516,49.15
24155754,49.15
24457872,49.15
24585164,49.15
24627165,49.15
25325195,49.15
25472028,49.15
25494667,49.15
25626705,49.15
26135240,49.15
26174966,49.15
26216461,49.15
26893263,49.15
28066441,49.15
28340709,49.15
28555960,49.15
28824560,49.15
29070953,49.15
29533672,49.15
29747554,49.15
30362536,49.15
30662220,49.15
31523904,49.15
31537124,49.15
31592181,49.15
31772698,49.15
32483847,49.15
32794865,49.15
33176491,49.15
33903438,49.15
34384833,49.15
34482418,49.15
34884170,49.15
35107008,49.15
35132605,49.15
35228421,49.15
35540380,49.15
35874763,49.15
36151050,49.15
36722817,49.15
37401528,49.15
38012141,49.15
39793629,49.15
40272503,49.15
40564815,49.15
41132535,49.15
41191430,49.15
41625082,49.15
42035568,49.15
42319074,49.15
42715869,49.15
42881553,49.15
43560369,49.15
43788753,49.15
44119001,49.15
44274234,49.15
44658934,49.15
45010703,49.15
45733130,49.15
45906791,49.15
47025441,49.15
47343084,49.15
47366654,49.15
48226762,49.15
48945177,49.15
49363854,49.15
49781822,49.15
49795906,49.15
49869767,49.15
51188163,49.15
51338211,49.15
51390680,49.15
51451625,49.15
51927008,49.15
53223740,49.15
53921724,49.15
54504045,49.15
54831545,49.15
55274473,49.15
35693584,49.07
41880699,49.05
29830086,49.04
37603601,49.04
771851,49
6051132,49
10947008,49
16756624,49
17696556,49
27916429,49
33054775,49
38004425,49
43639288,49
51793631,49
54517799,49
55330855,49
21364863,48.9
1810597,48.83
3181076,48.83
4821023,48.83
8899782,48.83
10904232,48.83
16190483,48.83
25918112,48.83
32441540,48.83
32678457,48.83
32723342,48.83
36498862,48.83
46453195,48.83
46581029,48.83
49333073,48.83
42833918,48.8
15562503,48.67
39858612,48.65
13944856,48.54
1042621,48.5
2828160,48.5
4255117,48.5
7016793,48.5
10228114,48.5
11031848,48.5
15845243,48.5
17445079,48.5
22383213,48.5
26577826,48.5
27976140,48.5
28517173,48.5
39435972,48.5
3545171,48.33
7111425,48.33
16928747,48.33
18210826,48.33
20982613,48.33
29098478,48.33
31508573,48.33
36086868,48.33
37624498,48.33
49511268,48.33
39392907,48.3
21882147,48.27
24807751,48.25
24230266,48.2
1936662,48.1
14591030,48.1
24505066,48.1
49107050,48.1
4362599,48.04
33569715,48.04
51813256,48.04
1943288,48
2140971,48
5778905,48
12467474,48
15563483,48
17275087,48
17512028,48
20473769,48
26161504,48
27952402,48
28993196,48
30100052,48
31706610,48
33280367,48
35259719,48
40716635,48
42119766,48
45305258,48
45453813,48
50756348,48
8566664,47.83
13121874,47.83
14216788,47.83
16519691,47.83
20176914,47.83
21031182,47.83
23919269,47.83
25807806,47.83
25969330,47.83
30121007,47.83
36980565,47.83
42106935,47.83
43508693,47.83
48436962,47.83
49610289,47.83
5234878,47.8
15946944,47.7
16210339,47.7
22964818,47.7
31288871,47.7
33222182,47.7
38819182,47.7
43717667,47.7
7680743,47.54
18098421,47.54
49882578,47.54
614987,47.5
3071426,47.5
5731063,47.5
7155444,47.5
17368978,47.5
18863608,47.5
23128665,47.5
24411600,47.5
26464092,47.5
34645104,47.5
35516659,47.5
39393152,47.5
42665546,47.5
43560385,47.5
44313345,47.5
45149961,47.5
51009880,47.5
51387327,47.5
52080390,47.5
22232908,47.47
2315961,47.33
15696448,47.33
16394849,47.33
23490266,47.33
24602810,47.33
38536458,47.33
40487197,47.33
41484557,47.33
42318222,47.33
45564403,47.33
52996046,47.33
5569760,47.3
31664006,47.3
39968989,47.3
41086021,47.3
42528884,47.3
45497695,47.3
48829779,47.3
50795284,47.3
47375444,47.1
31828056,47.04
32751387,47.04
40049296,47.04
42376502,47.04
3687560,47
3848011,47
4699566,47
16490124,47
16602280,47
22134774,47
27865177,47
32065955,47
35627404,47
42729394,47
43620334,47
46730313,47
47424753,47
51745262,47
53873065,47
54990432,47
45592209,46.94
3446851,46.9
5800885,46.9
10275951,46.9
27870736,46.9
30870900,46.9
33062998,46.9
36456529,46.9
37988651,46.9
42485049,46.9
46842874,46.84
241397,46.83
2864692,46.83
3358126,46.83
4611369,46.83
4951827,46.83
11353755,46.83
15541861,46.83
23935968,46.83
26692559,46.83
34161144,46.83
43774390,46.83
44086958,46.83
5384741,46.8
19381805,46.8
20532506,46.8
28453494,46.8
28054405,46.65
41778941,46.54
51036065,46.54
257163,46.5
9120617,46.5
13630758,46.5
21079967,46.5
21525070,46.5
23258385,46.5
24426527,46.5
29179274,46.5
33221909,46.5
35818701,46.5
39204453,46.5
39925955,46.5
41461867,46.5
41820064,46.5
44639356,46.5
50294360,46.5
53287478,46.5
12618952,46.4
980247,46.33
2411459,46.33
21708717,46.33
23372296,46.33
24608039,46.33
28654833,46.33
35986021,46.33
38293208,46.33
42764776,46.33
51348543,46.33
53978326,46.33
26366291,46.3
47532943,46.3
49473146,46.3
18461231,46.27
5303926,46.2
5782980,46.1
13425935,46.1
40341994,46.1
43193699,46.1
47416083,46.1
53070696,46.1
42841859,46.04
2720419,46
3097491,46
6927471,46
7240797,46
7425704,46
9281584,46
9435703,46
14231393,46
17104095,46
19768073,46
20310513,46
20656869,46
27088389,46
28323180,46
28655819,46
30789337,46
31575657,46
36181244,46
43714639,46
51295854,46
51396569,46
52449058,46
53924990,46
54081502,46
40937525,45.87
14412347,45.85
2264832,45.83
2983830,45.83
8477642,45.83
12145679,45.83
12432781,45.83
13125492,45.83
13131340,45.83
20942554,45.83
23366935,45.83
33019894,45.83
33974339,45.83
34118059,45.83
35989261,45.83
40694287,45.83
53415554,45.83
18757848,45.8
30952629,45.8
4476942,45.7
11050093,45.7
19001701,45.7
19253663,45.7
21339075,45.7
29709971,45.7
44449949,45.7
46829162,45.7
52616199,45.7
54162496,45.7
8331081,45.66
6781099,45.54
7236367,45.54
19965419,45.54
54821556,45.54
378102,45.5
2773295,45.5
5097254,45.5
12532733,45.5
20826668,45.5
21350931,45.5
31318224,45.5
35230688,45.5
41132769,45.5
41331682,45.5
43158003,45.5
44533767,45.5
44683313,45.5
46466743,45.5
55363686,45.5
32184465,45.47
1575461,45.33
1712472,45.33
6676362,45.33
9097705,45.33
12761238,45.33
15516385,45.33
24497514,45.33
24663974,45.33
27039600,45.33
27581655,45.33
29654102,45.33
36112996,45.33
37065719,45.33
38809793,45.33
43808612,45.33
46087393,45.33
48797086,45.33
49394266,45.33
53150207,45.33
54127823,45.33
54773939,45.33
11498936,45.3
14068216,45.3
14415328,45.3
17494954,45.3
17582543,45.3
21509693,45.3
21785761,45.3
25136705,45.3
32639766,45.3
41089814,45.3
47384628,45.3
51105727,45.3
52874906,45.3
33513266,45.16
69319,45.07
40364753,45.05
7620017,45.04
10436412,45.04
30075388,45.04
39746339,45.04
52150498,45.04
71762,45
144090,45
241113,45
262968,45
350674,45
382458,45
455877,45
770788,45
796591,45
909489,45
1043642,45
1111855,45
1193585,45
1831388,45
1837597,45
1912614,45
1927496,45
1941464,45
2070481,45
2147345,45
2247749,45
2524945,45
2636174,45
2696994,45
2706448,45
2900018,45
2949025,45
3039334,45
3117994,45
3285501,45
3469932,45
3505368,45
3525351,45
3627360,45
3653598,45
3718913,45
3830491,45
3843575,45
3860214,45
4104908,45
4173614,45
4242034,45
4274870,45
4455267,45
4497099,45
4665730,45
4688360,45
4701379,45
4818762,45
4983255,45
5232798,45
5398731,45
5431143,45
5593143,45
5604597,45
5615807,45
5644694,45
5708828,45
5826035,45
5845675,45
5919399,45
6041503,45
6046140,45
6055113,45
6196401,45
6244599,45
6403066,45
6499628,45
6603025,45
6665113,45
6808057,45
6860301,45
6864593,45
6898630,45
7119881,45
7192615,45
7332996,45
7431122,45
7518615,45
7672692,45
7816735,45
7869564,45
8064463,45
8385975,45
8450080,45
8656709,45
8692224,45
8910569,45
9005701,45
9017732,45
9106645,45
9125516,45
9344355,45
9512272,45
9532343,45
9532965,45
9811847,45
10073360,45
10092031,45
10457855,45
10571941,45
10576487,45
10616242,45
10635018,45
10636556,45
10771222,45
10895651,45
10954531,45
11005030,45
11072366,45
11212278,45
11381230,45
11409670,45
11414939,45
11761312,45
11877631,45
12223844,45
12241950,45
12252641,45
12339758,45
12341156,45
12420619,45
12433624,45
12708210,45
12831666,45
12888787,45
12986644,45
13160572,45
13288184,45
13418161,45
13742049,45
13815894,45
13865023,45
14024357,45
14031136,45
14145101,45
14173955,45
14231634,45
14455717,45
14569009,45
14591923,45
14646053,45
14750148,45
14774666,45
14802717,45
14853338,45
14920560,45
15069563,45
15080916,45
15094996,45
15230756,45
15799960,45
15866394,45
16113372,45
16224289,45
16270192,45
16312811,45
16343922,45
16413121,45
16502840,45
16763140,45
16847604,45
17039599,45
17055517,45
17352701,45
17376391,45
17392409,45
17483556,45
17507457,45
17597608,45
17697394,45
17776465,45
17909296,45
18034207,45
18184966,45
18217503,45
18263056,45
18351226,45
18672201,45
18740995,45
18839355,45
19086058,45
19107126,45
19168942,45
19250601,45
19368886,45
19532284,45
19694658,45
20100035,45
20109043,45
20504545,45
20657734,45
20688712,45
20785802,45
20807007,45
20839674,45
20883471,45
20894402,45
21010707,45
21091659,45
21193781,45
21198950,45
21462464,45
21683927,45
21987673,45
22190454,45
22345392,45
22492140,45
22545641,45
22552714,45
22674111,45
22676690,45
22746172,45
22783540,45
22837447,45
23127634,45
23171033,45
23576443,45
23607310,45
23648778,45
23776217,45
24179326,45
24213978,45
24380247,45
24424926,45
24478993,45
24731347,45
24779234,45
24824387,45
25035366,45
25300005,45
25312359,45
25398994,45
25432448,45
25468321,45
25500097,45
25538843,45
25627661,45
25700361,45
25731883,45
25773017,45
25917902,45
26027086,45
26118548,45
26153188,45
26198618,45
26337990,45
26345273,45
26368000,45
26375681,45
26447425,45
26579013,45
26861163,45
26909691,45
26963361,45
27021878,45
27275656,45
27346632,45
27391865,45
27701664,45
27722913,45
27736914,45
27820766,45
27948152,45
28194179,45
28203281,45
28594556,45
28628421,45
28666783,45
28672382,45
28676036,45
29043456,45
29087665,45
29094885,45
29150116,45
29239300,45
29277394,45
29333433,45
29604549,45
29921627,45
29950951,45
30033003,45
30257078,45
30722194,45
31003345,45
31084108,45
31236221,45
31261854,45
31266885,45
31443952,45
31529145,45
31557569,45
31610542,45
31656162,45
31666493,45
31915144,45
32130118,45
32363942,45
32407777,45
32416285,45
32444820,45
32842871,45
32960559,45
32969072,45
33402004,45
33413268,45
33416630,45
33436579,45
33745930,45
33768542,45
33801675,45
34029485,45
34127474,45
34279786,45
34397328,45
34488981,45
34545085,45
34812475,45
34822903,45
34874972,45
35043239,45
35172665,45
35174301,45
35245581,45
35273009,45
35305872,45
35331947,45
35351514,45
35365812,45
35622037,45
35708986,45
35898576,45
35957307,45
36112695,45
36122721,45
36343909,45
36358492,45
36412018,45
36543246,45
36612914,45
36689814,45
36889778,45
37216409,45
37322055,45
37351576,45
37430105,45
37805920,45
37913991,45
37959150,45
38236830,45
38387152,45
38474414,45
38635160,45
38728676,45
38800942,45
38807985,45
39439092,45
39646621,45
39799248,45
39862875,45
39890545,45
39950876,45
40022871,45
40133223,45
40176197,45
40263282,45
40270748,45
40474258,45
40650866,45
40904786,45
41031933,45
41040362,45
41054657,45
41127534,45
41420727,45
41713300,45
41935698,45
42015753,45
42028450,45
42136903,45
42252484,45
42417771,45
42423026,45
42495625,45
42598824,45
42608605,45
42633578,45
42896549,45
42943783,45
43125703,45
43137426,45
43339401,45
43354547,45
43507761,45
43740646,45
43857929,45
43877935,45
44085305,45
44388370,45
44413510,45
44492668,45
44582139,45
44624491,45
44630883,45
44657128,45
44980105,45
45034196,45
45344671,45
45484272,45
45934463,45
46025324,45
46026472,45
46036715,45
46121764,45
46139095,45
46175600,45
46245554,45
46274047,45
46302895,45
46494244,45
46526339,45
46704832,45
46780801,45
46793449,45
46868675,45
46871107,45
47206219,45
47207182,45
47249094,45
47329825,45
47411721,45
47503886,45
47610739,45
47637558,45
47639154,45
47879348,45
47908470,45
47952000,45
47988256,45
48008024,45
48046176,45
48066749,45
48239720,45
48492233,45
48525833,45
48575964,45
48735291,45
48753238,45
48826141,45
48850091,45
48914275,45
48969120,45
48997232,45
49124384,45
49335603,45
49459636,45
49562119,45
49566237,45
49583187,45
49653506,45
49663511,45
49723688,45
49778973,45
49790207,45
49911149,45
50017269,45
50262202,45
50286411,45
50320591,45
50357533,45
50363751,45
50380737,45
50409932,45
50518811,45
50625660,45
50794315,45
50827575,45
50933806,45
51043311,45
51131707,45
51251405,45
51380769,45
51556461,45
51824988,45
52056574,45
52203199,45
52239970,45
52300220,45
52309078,45
52337476,45
52440770,45
52528061,45
52578056,45
52759327,45
53039190,45
53507773,45
53584705,45
53734669,45
53763440,45
53967662,45
53995470,45
53996875,45
54207158,45
54210504,45
54457924,45
54499497,45
54519045,45
54595520,45
54866106,45
54981720,45
55014855,45
55277311,45
55306249,45
55339994,45
55355009,45
55387341,45
1902339,44.9
5359987,44.9
8452422,44.9
9424003,44.9
24609311,44.9
24832519,44.9
29270937,44.9
31401887,44.9
32204865,44.9
39957469,44.9
49033886,44.9
50213656,44.9
50737079,44.9
53456936,44.9
612669,44.83
1390360,44.83
4564632,44.83
7760921,44.83
11092202,44.83
15951389,44.83
18571693,44.83
22414633,44.83
28738715,44.83
34566670,44.83
35326662,44.83
35891945,44.83
38497081,44.83
47801418,44.83
47979649,44.83
48286250,44.83
48510616,44.83
49768127,44.83
52264570,44.83
275119,44.8
24229153,44.8
19280454,44.67
39948001,44.67
45718646,44.57
25660367,44.54
1686257,44.5
6532093,44.5
8935678,44.5
9172606,44.5
10687059,44.5
11517992,44.5
16802678,44.5
18362533,44.5
20575882,44.5
21861474,44.5
25668202,44.5
25783698,44.5
28733331,44.5
29488689,44.5
29993282,44.5
30814144,44.5
31772240,44.5
34070206,44.5
35801409,44.5
36349972,44.5
38129115,44.5
38916347,44.5
39114959,44.5
40794339,44.5
48725806,44.5
49055171,44.5
49485405,44.5
53157914,44.5
54761418,44.5
54781798,44.5
776929,44.33
1061654,44.33
3410072,44.33
7233893,44.33
7662900,44.33
8325339,44.33
10831150,44.33
12002942,44.33
15760571,44.33
19606149,44.33
20355301,44.33
26095837,44.33
26215512,44.33
26928456,44.33
28383063,44.33
31426819,44.33
31792768,44.33
33484352,44.33
34946089,44.33
38232935,44.33
40033485,44.33
40837446,44.33
43481500,44.33
45063005,44.33
45995686,44.33
46247526,44.33
47864910,44.33
48375924,44.33
51500722,44.33
24378360,44.3
29441975,44.3
47864249,44.3
49086734,44.3
54798329,44.3
29606700,44.27
4793156,44.25
2512645,44.1
2614171,44.1
3477739,44.1
10857034,44.1
17101069,44.1
17765995,44.1
29897596,44.1
33535072,44.1
36279759,44.1
37963885,44.1
45826714,44.1
499323,44.04
10660965,44.04
20020649,44.04
3054889,44
5818784,44
7823235,44
8692535,44
11160225,44
11781097,44
12455153,44
16836267,44
20064708,44
22978503,44
24092625,44
26992494,44
31677305,44
31799107,44
37851286,44
38680536,44
40789399,44
40947044,44
46567888,44
47679363,44
50911191,44
51691539,44
53790926,44
54097924,44
54931350,44
41158308,43.95
6839815,43.9
50377088,43.87
26171276,43.85
1480953,43.83
3983264,43.83
4546253,43.83
9990083,43.83
10289092,43.83
13500553,43.83
17146699,43.83
17309354,43.83
21946738,43.83
22873093,43.83
23242867,43.83
26451004,43.83
31638363,43.83
33094689,43.83
36185995,43.83
37251290,43.83
39935504,43.83
41667037,43.83
42003914,43.83
42756320,43.83
42784293,43.83
45639595,43.83
48659857,43.83
50550394,43.83
54711193,43.83
698094,43.8
15541917,43.8
21007251,43.8
39235609,43.8
635000,43.7
10753660,43.7
16566690,43.7
22042865,43.7
28093265,43.7
28561458,43.7
31039635,43.7
31304513,43.7
32130794,43.7
33405275,43.7
43172748,43.7
47558386,43.7
48427293,43.7
49158489,43.7
51021464,43.7
20538091,43.6
17655567,43.54
52786329,43.54
417715,43.5
5104754,43.5
6378405,43.5
11304323,43.5
14192620,43.5
16685995,43.5
17569514,43.5
18989516,43.5
20566052,43.5
21117828,43.5
21959488,43.5
22643702,43.5
24417887,43.5
27114713,43.5
27439484,43.5
30584101,43.5
33734947,43.5
35307251,43.5
35853211,43.5
36848959,43.5
40428493,43.5
42058511,43.5
46229668,43.5
50764172,43.5
54987503,43.5
3255961,43.47
47395928,43.45
83317,43.33
169510,43.33
1024708,43.33
1471480,43.33
2879496,43.33
3809262,43.33
4963424,43.33
8879992,43.33
9128637,43.33
11073516,43.33
11792873,43.33
15754716,43.33
18198401,43.33
18411568,43.33
18482603,43.33
18550728,43.33
20089479,43.33
21814859,43.33
22530905,43.33
22710011,43.33
23055971,43.33
23508191,43.33
25436851,43.33
27517309,43.33
34720835,43.33
37309581,43.33
37466849,43.33
37761085,43.33
39436881,43.33
43146665,43.33
51967963,43.33
52466937,43.33
53469774,43.33
54827790,43.33
4033512,43.3
5610119,43.3
11685321,43.3
13279811,43.3
16588919,43.3
25994861,43.3
27248222,43.3
36970771,43.3
37503642,43.3
37895529,43.3
42702524,43.3
50425657,43.3
51505947,43.3
52097501,43.3
38906272,43.16
39566334,43.07
42103652,43.07
1056021,43.04
14236092,43.04
42222913,43.04
54700995,43.04
74313,43
172491,43
1123428,43
5436757,43
5934626,43
7410622,43
8475845,43
8872389,43
10980106,43
11020393,43
13491829,43
15180648,43
17350924,43
19934088,43
19944259,43
25703825,43
26282064,43
28146921,43
31704576,43
31842324,43
32228951,43
37770341,43
39200573,43
39315827,43
39645854,43
42804745,43
46435788,43
46859008,43
52268594,43
53398243,43
55228042,43
2996752,42.9
8049162,42.9
17524988,42.9
27222415,42.9
29701000,42.9
35459885,42.9
36630869,42.9
42174518,42.9
42641270,42.9
43716204,42.9
46929754,42.9
49195985,42.9
52666202,42.9
54962627,42.9
10839,42.83
3922279,42.83
4264715,42.83
5675080,42.83
6934903,42.83
9401660,42.83
11312171,42.83
11993349,42.83
14085184,42.83
14102750,42.83
15151644,42.83
16104072,42.83
16712491,42.83
18220714,42.83
22494363,42.83
23236139,42.83
23602532,42.83
24891288,42.83
25859551,42.83
30561163,42.83
34037786,42.83
35090525,42.83
35518962,42.83
38217793,42.83
38852026,42.83
42784055,42.83
43065331,42.83
43808502,42.83
44206668,42.83
46932445,42.83
47979274,42.83
48811506,42.83
49609446,42.83
51908613,42.83
53255769,42.83
54537177,42.83
54568628,42.83
12583513,42.8
19118748,42.8
45684440,42.8
14440554,42.75
44328174,42.7
6085067,42.67
18348401,42.67
28958954,42.65
10737985,42.54
11717750,42.54
51707854,42.54
2091172,42.5
3062492,42.5
6233100,42.5
8173646,42.5
8420337,42.5
9248904,42.5
9389923,42.5
10477274,42.5
10492526,42.5
16139415,42.5
16461445,42.5
16727700,42.5
17312929,42.5
18340120,42.5
19171561,42.5
19291366,42.5
20305821,42.5
20812986,42.5
21374534,42.5
21881038,42.5
23107523,42.5
24319828,42.5
26602566,42.5
30781487,42.5
32484268,42.5
35586367,42.5
36468705,42.5
36908345,42.5
37401177,42.5
37533709,42.5
41287613,42.5
41451350,42.5
42012921,42.5
44198230,42.5
45787305,42.5
50922184,42.5
50950964,42.5
54502474,42.5
55078505,42.5
55355837,42.5
4743495,42.35
988535,42.33
1317937,42.33
5690045,42.33
6364125,42.33
12368670,42.33
12548273,42.33
12724024,42.33
14220615,42.33
15496132,42.33
21417295,42.33
22552375,42.33
24007475,42.33
32760114,42.33
33471946,42.33
34644920,42.33
35803816,42.33
37869664,42.33
38196487,42.33
38532371,42.33
40567938,42.33
43010532,42.33
43700314,42.33
46399582,42.33
48425158,42.33
49213028,42.33
50386499,42.33
51238098,42.33
52119451,42.33
52278456,42.33
15596529,42.3
18833083,42.3
37454382,42.3
7973655,42.27
23837388,42.27
40429142,42.25
50889655,42.25
5976595,42.1
7713209,42.1
9391770,42.1
9964184,42.1
9964717,42.1
16203360,42.1
16556270,42.1
16556793,42.1
16691133,42.1
17814212,42.1
23883143,42.1
24714659,42.1
25763868,42.1
37650500,42.1
46670273,42.1
47920823,42.1
51578235,42.1
53470220,42.1
53750933,42.1
10593681,42.04
23186929,42.04
38626049,42.04
42381020,42.04
43661103,42.04
46385005,42.04
47072988,42.04
47500388,42.04
50698020,42.04
180732,42
1567670,42
1622109,42
1799730,42
2038344,42
3046958,42
3923249,42
4398195,42
7047379,42
7094256,42
10799327,42
13574110,42
13831985,42
16689737,42
16809913,42
19768386,42
19929404,42
20938798,42
21882979,42
22377209,42
24468713,42
27478140,42
27646502,42
32396801,42
32897867,42
33708013,42
42151097,42
42297619,42
44399850,42
48470102,42
49412432,42
50167587,42
53027376,42
53226379,42
55247409,42
30594509,41.94
22724277,41.87
24557283,41.87
43000578,41.87
503751,41.83
816637,41.83
1178357,41.83
1323132,41.83
1638609,41.83
4665977,41.83
5139375,41.83
5153960,41.83
8090008,41.83
8405340,41.83
9170146,41.83
11777574,41.83
15461887,41.83
17013024,41.83
17539858,41.83
17855228,41.83
18739924,41.83
19666816,41.83
19697503,41.83
20751121,41.83
21133042,41.83
21415456,41.83
24796350,41.83
25146606,41.83
26029562,41.83
26787402,41.83
27463937,41.83
27825844,41.83
28306625,41.83
31595734,41.83
33054189,41.83
34150461,41.83
35746881,41.83
40371052,41.83
40653748,41.83
41492869,41.83
41539982,41.83
42030209,41.83
42351915,41.83
43328203,41.83
44077039,41.83
47077539,41.83
47765217,41.83
50148806,41.83
51635002,41.83
51805112,41.83
52905032,41.83
54388389,41.83
2077519,41.8
11622739,41.8
28729289,41.8
29257445,41.8
34863370,41.8
36956458,41.8
38822524,41.8
44487644,41.8
54580935,41.790000000000006
12402646,41.7
20474811,41.7
30181360,41.7
33346461,41.7
36885853,41.7
39771297,41.7
40420139,41.7
44402622,41.7
7414830,41.54
26397694,41.54
40811384,41.54
53696475,41.54
2493334,41.5
4073138,41.5
4494215,41.5
5658394,41.5
10731909,41.5
10937590,41.5
15932861,41.5
17438642,41.5
17470245,41.5
19078796,41.5
21347806,41.5
22690331,41.5
23492280,41.5
26063017,41.5
27857908,41.5
29160049,41.5
30125880,41.5
32646361,41.5
34650273,41.5
35479043,41.5
37181908,41.5
37296483,41.5
40306421,41.5
41118526,41.5
42391115,41.5
53241472,41.5
53674529,41.5
53973103,41.5
9837755,41.47
36492234,41.47
52510922,41.47
54495817,41.47
15070534,41.45
28965105,41.44
893717,41.33
3150290,41.33
9471512,41.33
10598933,41.33
11330400,41.33
21093356,41.33
24797372,41.33
26524360,41.33
28789440,41.33
29563829,41.33
32018689,41.33
34175831,41.33
36448974,41.33
36637956,41.33
36644308,41.33
40247082,41.33
41402201,41.33
41790345,41.33
43468052,41.33
43669689,41.33
48028135,41.33
49164819,41.33
49995936,41.33
53949731,41.33
54096838,41.33
54728827,41.33
55127334,41.33
1632148,41.3
1773245,41.3
2221657,41.3
3763430,41.3
7663157,41.3
8041823,41.3
11404759,41.3
12945431,41.3
13411275,41.3
16805472,41.3
18182984,41.3
20682322,41.3
22825148,41.3
25072847,41.3
36254268,41.3
36734581,41.3
37889649,41.3
38734275,41.3
38924089,41.3
43105877,41.3
43768145,41.3
45600570,41.3
45928643,41.3
48571507,41.3
51366090,41.3
54105487,41.3
6572394,41.2
13468392,41.16
21058798,41.07
40682680,41.07
51988762,41.07
53920871,41.07
4003727,41.04
23498789,41.04
33054337,41.04
46609956,41.04
48563223,41.04
423381,41
1890371,41
3239826,41
4848018,41
5299560,41
7963455,41
8798850,41
8888414,41
9533109,41
9790272,41
11150175,41
13298706,41
14182911,41
20222301,41
21431702,41
22336340,41
28994230,41
31437571,41
35611681,41
37799670,41
42346183,41
44293166,41
46637521,41
50397031,41
51235285,41
51872396,41
55185103,41
15073352,40.94
203801,40.9
2250879,40.9
